시군명,기준년월,월별충전액,월별사용액,인센티브율(%)
성남시,2020-06,5619270000.0,8433603000.0,10
성남시,2020-05,7785730000.0,11694491000.0,10
성남시,2020-04,42113040000.0,15696427000.0,10
성남시,2020-03,5474630000.0,4760594000.0,10
성남시,2020-02,5483070000.0,4754951000.0,10
성남시,2020-01,5502150000.0,5737282000.0,10
성남시,2019-12,7684540000.0,6374963000.0,6
성남시,2019-11,5633310000.0,5731457000.0,6
성남시,2019-10,7422980000.0,6070857000.0,6
성남시,2019-09,5669277000.0,4431947000.0,6
성남시,2019-08,5447710000.0,5798567000.0,6
성남시,2019-07,6224430000.0,5186416000.0,6
성남시,2019-06,4957850000.0,4948054000.0,6
성남시,2019-05,6557190000.0,5392838000.0,6
성남시,2019-04,5464570000.0,4407860000.0,6
성남시,2019-03,4712220000.0,4796227000.0,6
성남시,2019-02,4861360000.0,3557059000.0,6
성남시,2019-01,4792280000.0,3963836000.0,6
수원시,2022-12,33114060000.0,30915410000.0,10
수원시,2022-11,26159697000.0,29572792000.0,10
수원시,2022-10,28820104000.0,31385037000.0,10
수원시,2022-09,53682035000.0,33494439000.0,10
수원시,2022-08,20047095000.0,24328063000.0,10
수원시,2022-07,24673565000.0,25732256000.0,10
수원시,2022-06,20577137000.0,28285270000.0,10
수원시,2022-05,39625699000.0,34373700000.0,10
수원시,2022-04,34439482000.0,34409863000.0,10
수원시,2022-03,32314288000.0,33872904000.0,10
수원시,2022-02,26493652000.0,30490745000.0,10
수원시,2022-01,35517134000.0,37412949000.0,10
수원시,2021-12,38589931000.0,35437544000.0,10
수원시,2021-11,37254826000.0,31175985000.0,10
수원시,2021-10,20422726000.0,23899626000.0,10
